ID_PER,ap_reun_aut,ap_firma_pet,ap_resol_prob,ap_rec_part_pol,ap_protest,ap_toma_carr,ap_pinta,ap_busca_apoyo_osc,ap_acudir_medios,ap_presion_rs,ap_huelga
0505638.05.01,2,2,2,2,2,2,2,2,2,2,2
0505666.04.02,2,2,1,2,2,2,2,2,2,2,2
0505796.04.02,2,2,2,1,2,2,2,1,2,2,2
0505796.11.01,1,1,1,1,1,2,2,2,2,2,2
0505796.12.01,2,2,2,2,2,2,2,2,2,2,2
0505817.10.03,2,2,2,1,2,2,2,2,2,2,2
0506020.02.01,1,2,1,1,2,2,2,2,2,2,2
0506097.01.02,1,1,2,2,2,2,2,2,1,2,2
0506121.01.01,1,1,1,1,2,2,2,1,2,2,2
0506121.03.02,2,2,2,2,2,2,2,2,2,2,2
0506151.03.01,2,1,2,2,2,2,2,1,1,2,2
0506442.13.01,2,1,1,2,1,2,2,2,2,2,1
0506442.20.01,2,1,1,2,1,2,2,2,2,2,2
0506678.04.01,1,1,1,1,1,2,2,2,2,2,2
0506678.16.02,2,2,2,2,2,2,2,2,2,2,2
0506678.20.06,2,2,2,2,2,2,2,2,2,2,2
0560065.11.01,2,2,2,2,2,2,2,2,2,2,2
0560084.18.02,2,1,1,1,2,2,2,2,2,2,2
0560084.19.01,2,1,2,2,2,2,2,2,2,2,2
0560165.03.06,2,2,2,2,2,2,2,2,2,2,2
0560165.04.01,2,2,2,2,2,2,2,2,2,2,2
0560165.12.03,1,2,1,2,2,2,2,2,2,2,2
0560180.16.02,2,2,2,2,2,2,2,2,2,2,2
0560210.06.03,2,2,2,2,2,2,2,2,1,1,2
0560210.09.03,2,2,2,2,2,2,2,1,2,2,2
0560220.08.01,2,1,1,2,2,2,2,2,2,2,2
0560220.18.02,2,2,2,1,2,2,2,2,2,2,2
0560275.08.02,1,1,1,2,2,2,2,2,2,2,2
0560362.09.02,2,1,1,2,2,2,2,2,2,2,2
0560362.20.01,1,1,1,1,2,2,2,1,2,2,2
0560382.03.01,1,2,2,1,2,2,2,2,2,2,2
0560382.08.01,2,2,2,2,2,2,2,2,2,2,2
0560382.17.01,1,1,1,2,2,2,2,2,2,2,2
0560386.01.02,2,2,2,2,2,2,2,2,2,2,2
0560387.03.01,2,2,2,1,2,2,2,1,2,2,2
0560387.07.02,2,2,1,1,1,2,2,1,2,2,1
0560387.15.01,2,1,1,1,2,2,2,2,2,2,2
0560387.18.01,2,2,2,2,2,2,2,2,2,2,2
0560403.13.03,2,1,2,1,2,2,2,2,2,2,2
0560403.18.01,2,2,2,2,2,2,2,2,2,2,2
0600026.01.01,1,1,1,2,2,2,2,2,2,1,2
0600049.01.02,2,2,2,2,2,2,2,2,2,2,2
0600110.02.02,2,2,2,2,2,2,2,2,2,2,2
0600110.03.01,2,1,1,2,2,2,2,2,2,2,2
0600143.02.03,2,2,2,2,2,2,2,2,2,2,2
0600148.01.01,2,2,1,2,2,2,2,2,2,2,2
0600155.02.02,1,1,1,2,1,2,2,2,1,1,1
0600155.05.02,1,2,2,2,2,2,2,2,2,2,2
0600201.02.02,2,2,2,2,2,2,2,2,2,2,2
0600201.03.01,2,2,2,2,2,2,2,2,2,2,2
0600201.05.01,1,1,2,2,2,2,2,2,2,2,1
0600216.04.01,2,2,2,2,2,2,2,2,2,2,2
0600225.01.02,2,2,2,2,2,2,2,2,2,2,2
0600235.04.04,2,2,2,2,2,2,2,2,2,2,2
0600240.03.01,2,2,2,2,2,2,2,2,2,2,2
0600245.01.02,2,2,2,2,2,2,2,2,2,2,2
0600253.01.01,1,1,1,2,2,2,2,2,2,2,1
0600253.04.02,2,2,2,2,2,2,2,2,2,2,2
0600282.02.01,1,1,2,2,2,2,2,2,1,1,1
0600282.04.01,2,1,2,2,2,2,2,2,2,2,2
0600286.02.01,1,1,1,1,2,2,2,1,2,1,2
0600295.04.02,1,1,1,1,2,2,2,2,2,1,2
0600295.05.02,2,2,2,2,2,2,2,2,2,2,2
0600311.03.02,2,1,2,2,2,2,2,2,2,2,2
0600357.03.02,1,1,2,1,2,2,2,2,2,2,2
0600364.04.01,2,2,2,2,1,1,2,2,2,2,2
0600422.02.01,2,2,1,2,2,2,2,2,2,1,2
0600434.05.01,1,2,2,2,2,2,2,2,2,1,2
0600468.03.01,1,2,2,2,2,2,2,2,2,2,2
0600581.01.03,2,1,2,2,2,2,2,2,2,2,2
0600583.04.01,1,1,1,2,2,2,2,2,2,2,2
0600583.05.02,2,2,1,2,1,2,2,1,1,2,2
0600614.02.01,2,2,2,2,2,2,2,2,2,2,2
0600664.01.01,1,1,2,1,2,2,2,1,2,1,2
0600664.04.01,2,1,2,2,2,2,2,2,2,2,2
0600673.01.01,2,2,2,2,2,2,2,2,2,2,2
0600673.03.01,2,2,2,2,2,2,2,2,2,2,2
