"","CVE_ENT","FAC_SEL","dona_sangre_ef","dona_alimen_ef","aux_desconocido_ef","dona_org_social_ef","p_sindicato_ef","p_gpo_estud_ef","p_asoc_prof_ef","p_org_reli_ef","p_org_depor_ef","p_org_cultura_ef","p_asoc_padres_ef","p_voluntariado_ef","p_org_dh_ef","p_org_ambient_ef","p_org_vecinal_ef"
"322","01",5098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"323","01",3823,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"324","01",3823,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"325","01",3481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"326","01",2321,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1
"327","01",1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"328","01",2321,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"329","01",3481,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0
"330","01",2321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"331","01",2321,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"332","01",1160,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1
"333","01",3481,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
"334","01",2321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"335","01",4642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"336","01",3481,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"337","01",3481,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"338","01",2321,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"339","01",4642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"340","01",6963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"341","01",6963,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"342","01",4642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"343","01",1110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"344","01",1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"345","01",740,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
